# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
4.57, 0.15, 0.2628, 0.0153, -9.0802e-02, 0.2437, 0.0166, 6.3236e-01, 0.3358, 0.0840, 2.8309e-01, 2.2875e+03, 0.83916, collision
10.93, 0.13, 0.1305, 0.1305, 3.2541e-05, 0.1140, 0.1140, 1.5273e-02, 263982.0976, 1.0000, -1.0006e+00, 8.5381e+02, 0.41067, a<0
7.84, 0.24, 0.4929, 0.0617, -2.1017e-04, 0.3971, 0.0035, -1.3693e-04, 0.2545, 0.0008, 1.5329e-02, 1.0000e+05, 40.30363, tmax
4.52, 0.17, 0.5339, 0.0226, -1.1121e-01, 0.3185, 0.0565, 1.0266e-01, 0.2443, 0.0939, 8.8676e-01, 2.8091e+03, 1.26005, collision
10.66, 0.15, 0.1611, 0.1611, 1.8328e-02, 0.0761, 0.0761, -9.6427e-02, 296875.1769, 1.0000, -1.0007e+00, 8.5381e+02, 0.31471, a<0
10.77, 0.04, 0.0391, 0.0391, 1.1165e-03, 0.0309, 0.0309, -2.3412e-03, 173890.1712, 1.0000, -1.0009e+00, 8.5381e+02, 0.26762, a<0
7.06, 0.27, 0.4237, 0.2650, -8.3258e-04, 0.2948, 0.2346, 6.0502e-03, 0.2858, 0.0865, -1.5219e-03, 1.0000e+05, 40.94239, tmax
7.36, 0.19, 0.3271, 0.1784, 6.0633e-04, 0.2029, 0.1492, 1.1053e-02, 0.2052, 0.0447, -1.2652e-02, 1.0000e+05, 40.34097, tmax
4.10, 0.05, 0.2058, 0.0009, -6.6969e-03, 0.1668, 0.0008, 8.6136e-03, 0.1347, 0.0016, 2.3147e-02, 1.0000e+05, 35.28594, tmax
3.99, 0.08, 0.4823, 0.0053, -4.2495e+00, 0.3084, 0.0047, 1.1495e+00, 0.4759, 0.0043, -7.4393e-01, 2.1484e+04, 8.06327, collision
9.20, 0.28, 0.4261, 0.2753, 2.4423e-05, 0.2908, 0.0957, 1.0605e-02, 0.3087, 0.1263, 8.7333e-04, 1.0000e+05, 40.91845, tmax
8.71, 0.25, 0.4012, 0.2413, -3.5572e-04, 0.2784, 0.0327, -6.0170e-04, 0.2733, 0.1254, 4.2874e-03, 1.0000e+05, 40.85610, tmax
9.63, 0.25, 0.4029, 0.2491, 4.2508e-05, 0.2577, 0.0349, 1.6365e-02, 0.3048, 0.0564, 3.3936e-02, 1.0000e+05, 40.87908, tmax
4.74, 0.23, 0.3348, 0.0631, -5.1444e-02, 0.2666, 0.1044, -3.0797e+01, 0.4069, 0.1787, -5.1898e-01, 2.1608e+03, 0.89171, collision
7.64, 0.27, 0.4532, 0.0140, -5.5813e-02, 0.4224, 0.0141, 1.9643e-01, 0.5782, 0.1087, 1.1520e+00, 4.4763e+04, 17.91445, collision
