#delta_H, max e_m1, max e_m2, max e_m3, max e_m4, max e_m5, sim finish time (n Pmoon), wall_time
4.18, 0.0420, 0.0486, 0.0335, 0.0516, 0.0295, 1.5854e+04, 33.65394
5.50, 0.1030, 0.0504, 0.1154, 0.0976, 0.0916, 3.6808e+03, 7.92133
5.51, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.9026e+02, 1.88828
5.32, 0.0580, 0.1145, 0.1304, 0.1155, 0.1038, 2.8612e+03, 6.28204
5.22, 0.0488, 0.0423, 0.0597, 0.0629, 0.0450, 1.0403e+04, 21.83563
4.98, 0.1433, 0.2361, 0.0960, 0.2678, 0.1195, 1.2039e+04, 25.54211
5.52, 0.1252, 0.0859, 0.2028, 0.0971, 0.0655, 2.0796e+03, 4.54005
5.12, 0.0741, 0.0419, 0.0909, 0.0381, 0.0411, 3.2028e+04, 67.36715
4.19, 0.0351, 0.0304, 0.0385, 0.0576, 0.0322, 4.8976e+03, 10.35396
5.33, 0.0552, 0.0414, 0.0687, 0.0627, 0.0379, 2.7279e+03, 5.75498
5.44, 0.0804, 0.0734, 0.1327, 0.0687, 0.0894, 1.0149e+04, 22.19402
5.53, 0.0832, 1764679.7493, 112.4519, 0.1150, 0.1265, 2.0000e+03, 4.26947
5.34, 0.0314, 0.0766, 0.1211, 0.0607, 0.0244, 2.0241e+03, 4.38931
5.45, 0.0469, 0.0237, 0.0283, 0.0307, 0.0438, 1.4644e+03, 3.22900
5.46, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.6651e+02, 1.63000
5.54, 0.2502, 0.2441, 0.3201, 0.1448, 0.1346, 1.8371e+03, 4.84446
5.35, 0.0237, 0.0405, 0.0340, 0.0201, 0.0196, 1.8854e+03, 3.98981
5.55, 0.0448, 15892.2811, 0.1642, 0.0283, 0.0611, 1.0000e+03, 2.11693
5.47, 0.0843, 0.0746, 0.1255, 0.0878, 0.1924, 3.4090e+03, 7.29326
5.36, 0.0646, 0.0604, 0.0745, 0.0096, 0.0581, 2.4218e+03, 5.12679
4.99, 0.0604, 0.0698, 0.0418, 0.0541, 0.0222, 8.2733e+03, 17.65580
5.56, 0.1338, 0.2346, 0.1041, 0.1076, 0.1067, 2.3594e+03, 5.91693
4.20, 0.0439, 0.0783, 0.0580, 0.0579, 0.0655, 7.4801e+03, 16.20844
5.37, 0.0784, 0.0713, 0.0466, 0.0519, 0.0422, 3.4519e+03, 7.28348
5.23, 0.0688, 0.1021, 0.0625, 0.0729, 0.0492, 1.3756e+04, 29.16385
5.38, 0.0639, 0.0529, 0.0277, 0.0400, 0.0230, 1.5328e+03, 3.24452
5.57, 0.1186, 0.1329, 0.0993, 0.0798, 0.0550, 5.9763e+03, 13.19891
5.58, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.4442e+02, 0.30232
5.00, 0.0356, 0.0549, 0.0431, 0.1050, 0.0597, 7.3383e+03, 15.42929
5.13, 0.0401, 0.0496, 0.0163, 0.0129, 0.0309, 1.4769e+04, 31.09709
5.04, 0.0560, 0.0245, 0.0594, 0.0592, 0.0168, 3.6942e+04, 77.36693
4.21, 0.0413, 0.0462, 0.0511, 0.0456, 0.0292, 8.5866e+03, 18.29799
5.24, 0.1420, 0.1522, 0.1007, 0.0994, 0.0229, 5.5154e+03, 11.87302
5.59, 0.1927, 0.1480, 0.1361, 0.2812, 0.0970, 4.0296e+03, 8.96268
5.60, 0.0565, 0.0734, 0.1112, 0.1115, 0.0214, 1.9742e+03, 4.48493
5.25, 0.0316, 0.0998, 0.0380, 0.0297, 0.0305, 2.9023e+03, 6.23441
5.05, 0.0258, 0.0277, 0.0184, 0.0109, 0.0100, 9.7570e+03, 20.43776
5.26, 0.0633, 0.0544, 0.0484, 0.0236, 0.0176, 6.5647e+03, 13.81706
5.61, 0.1629, 0.2071, 0.1319, 0.1450, 0.1001, 1.2054e+04, 26.69098
5.27, 0.0660, 0.0746, 0.1009, 0.0482, 0.0806, 7.7450e+03, 16.57810
5.01, 0.0955, 0.0663, 0.0418, 0.0534, 0.0499, 2.2278e+04, 46.94686
5.14, 0.1222, 0.0390, 0.1175, 0.0576, 0.0241, 2.3125e+04, 48.41837
5.02, 0.0386, 0.0432, 0.0339, 0.0225, 0.0103, 3.7291e+03, 7.97563
5.06, 0.2084, 0.3366, 0.2049, 0.1127, 0.1358, 2.1444e+04, 46.06940
5.28, 0.0782, 0.0231, 0.0644, 0.1494, 0.0836, 1.2908e+04, 28.06288
5.29, 0.0634, 0.0644, 0.0238, 0.0712, 0.0622, 2.5584e+03, 5.40160
5.15, 0.2801, 0.2595, 0.0741, 0.2159, 0.1466, 1.6104e+04, 34.36112
5.07, 0.0383, 0.0490, 0.0543, 0.0430, 0.0190, 1.7724e+04, 37.28973
5.16, 0.0455, 0.0466, 0.0767, 0.0520, 0.0199, 1.5753e+04, 33.25719
5.62, 0.1452, 0.1281, 0.1296, 0.1560, 0.1387, 4.3478e+04, 94.09966
