# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
5.30, 0.00, 0.0274, 0.0000, -4.9267e-04, 0.0881, 0.0000, 2.6192e-02, 1.0000e+07, 2782.85303, tmax
3.94, 0.00, 0.0232, 0.0000, 2.6248e-03, 0.0747, 0.0001, 8.4197e-02, 1.0000e+07, 2735.25421, tmax
6.32, 0.00, 0.0417, 0.0000, -2.4039e-04, 0.1017, 0.0001, 5.6982e-02, 1.0000e+07, 2687.43460, tmax
3.79, 0.00, 0.0216, 0.0001, 1.0496e-03, 0.0733, 0.0000, -1.2532e-02, 1.0000e+07, 2769.20206, tmax
4.45, 0.00, 0.0248, 0.0000, 9.5503e-04, 0.0795, 0.0000, 8.5217e-02, 1.0000e+07, 2719.44815, tmax
4.36, 0.00, 0.0246, 0.0000, 3.0288e-04, 0.0786, 0.0001, -6.7225e-03, 1.0000e+07, 2797.77440, tmax
8.52, 0.00, 0.0002, 0.0000, -1.5009e-05, 0.2286, 0.0002, 5.3859e-03, 1.0000e+07, 2760.75631, tmax
8.60, 0.00, 0.0001, 0.0001, -1.1696e-05, 0.0699, 0.0699, 1.8804e-01, 8.5381e+02, 0.24189, a>0.4R_H
5.52, 0.00, 0.0285, 0.0000, 5.9583e-04, 0.0908, 0.0000, 1.0123e-01, 1.0000e+07, 2776.74457, tmax
5.31, 0.00, 0.0274, 0.0000, 2.7159e-04, 0.0884, 0.0001, -1.1939e-02, 1.0000e+07, 2814.55177, tmax
8.83, 0.00, 0.0001, 0.0001, -9.1239e-06, 0.2140, 0.2140, -2.2286e-02, 8.5381e+02, 0.23726, a>0.4R_H
7.78, 0.00, 0.0015, 0.0000, 5.0340e-07, 0.1405, 0.0001, -1.5408e-02, 1.0000e+07, 2707.59839, tmax
4.20, 0.00, 0.0237, 0.0000, -1.0836e-03, 0.0769, 0.0001, 2.2830e-02, 1.0000e+07, 2749.90431, tmax
7.10, 0.00, 0.0115, 0.0000, -9.7526e-05, 0.1173, 0.0001, 5.8025e-02, 1.0000e+07, 2795.63773, tmax
8.40, 0.00, 0.0002, 0.0000, -9.4923e-06, 0.1972, 0.0001, 3.8579e-02, 1.0000e+07, 2834.74358, tmax
4.30, 0.00, 0.0245, 0.0000, -1.1780e-03, 0.0781, 0.0000, 6.2421e-02, 1.0000e+07, 2743.18934, tmax
